id,displayName,description,specialization,isMembershipLimitedToOwners,visibility,isArchived,createdDateTime
9e7fd75c-9acf-4acc-9828-8049444ee7e6,ESI0925 - PORTO ALEGRE/RS,ESI0925 - PORTO ALEGRE/RS,educationClass,False,hiddenMembership,False,2020-11-12T19:39:51.422Z
886d3b29-34ff-4809-b775-3ee560177bb9,PSC0969 - CAPÃO DA CANOA/RS,PSC0969 - CAPÃO DA CANOA/RS,educationClass,False,hiddenMembership,False,2020-11-12T22:00:00.768Z
029af55d-0a9c-4214-86ac-7ff2dd4d7049,FIE0151 - BELÉM/PA,FIE0151 - BELÉM/PA,educationClass,False,hiddenMembership,False,2020-11-13T14:50:54.128Z
d38c7162-b48d-4cbe-813b-dea308342a09,"UNI | Fisio Hospitalar | Ter | Not | FIS0012 (BN), FIS0055 (BN)","UNI | Fisio Hospitalar | Ter | Not | FIS0012 (BN), FIS0055 (BN)",educationClass,True,hiddenMembership,True,2020-11-16T15:25:54.336Z
2b164814-5f93-4aa8-a7fa-35006df49cf4,TCC2 - Segunda 16 11,TCC2 - Segunda 16 11,educationClass,False,hiddenMembership,False,2020-11-16T17:11:12.504Z
833a0ad2-4042-4e29-a7d5-adedf9576a74,UNI | Prát. Clin. Imagem Pessoal e Visagismo | EST0046 (BN),UNI | Prát. Clin. Imagem Pessoal e Visagismo | EST0046 (BN),educationClass,True,hiddenMembership,True,2020-11-17T06:28:50.534Z
9f091014-a09b-41af-a23b-8e0373e7bd52,AFL0665 - CAPÃO DA CANOA/RS,AFL0665 - CAPÃO DA CANOA/RS,educationClass,False,hiddenMembership,False,2020-11-18T06:07:51.752Z
295b4966-ec1d-4789-8cfa-bc8c05a49efb,Contas a Receber,Contas a Receber,educationStandard,False,private,False,2021-02-25T18:33:58.704Z
8825bad3-2b1d-401c-b745-8cc99a2ded92,TI Uniasselvi - Governança de TI,TI Uniasselvi - Governança de TI,educationStaff,False,private,False,2020-11-18T18:53:13.168Z
8561515b-5d6f-4703-9989-335a5e8a7e5e,TCC2 - Quarta 18 11,TCC2 - Quarta 18 11,educationClass,False,hiddenMembership,False,2020-11-18T19:15:05.993Z
4f01b22b-f080-46a7-95d4-8d0c3c21cda7,TCC2 - Quinta 19 11,TCC2 - Quinta 19 11,educationClass,False,hiddenMembership,False,2020-11-19T19:29:36.005Z
5f9511c2-82b5-4f6d-a52c-158b879d6d6b,TCC2 - Sexta 20 11,TCC2 - Sexta 20 11,educationClass,False,hiddenMembership,False,2020-11-20T16:47:58.612Z
f170be3c-b67d-4d2d-9ea6-ac530e3542b6,"UNI | Metodologia do Cuidado de Enfermagem | Sex | Not | ENF0051 (BR), ENF0055 (BR)","UNI | Metodologia do Cuidado de Enfermagem | Sex | Not | ENF0051 (BR), ENF0055 (BR)",educationClass,True,hiddenMembership,True,2020-11-24T00:26:49.004Z
